Bytes at reset vector:
EA 5B E0 0 F0 30 34 2F 30 38 2F 39 37 0 FC 7A
Reset Vector: FFFF:0000
IVT (int#  seg:off)
0  2453:C5A
1  70:6F4
2  488:16
3  70:6F4
4  2453:C5E
5  F000:FF54
6  F000:E14C
7  F000:EF6F
8  5D4:1875
9  2453:7177
A  F000:EF6F
B  F000:EF6F
C  F000:EF6F
D  F000:EF6F
E  488:B7
F  70:6F4
10  4822:87B
11  F000:F84D
12  F000:F841
13  5D4:18C5
14  2B9:91E
15  5D4:19A0
16  2B9:6A8
17  2B9:930
18  F000:E7A4
19  5D4:1990
1A  F000:FE6E
1B  70:6EE
1C  F000:FF53
1D  C000:2157
1E  0:522
1F  C000:6961
20  116:1094
21  5D4:16B4
22  502:2B1
23  502:14A
24  2453:7B34
25  5D4:19DE
26  5D4:1A27
27  116:10BC
28  5D4:1668
29  70:762
2A  2B9:67F
2B  116:10DA
2C  116:10DA
2D  116:10DA
2E  502:13F
2F  CDA:ED9
30  1610:D0EA
31  F000:EF01
32  116:10DA
33  116:10DA
34  3C12:A85
35  3C12:A85
36  3C12:A85
37  3C12:A85
38  3C12:A85
39  3C12:A85
3A  3C12:A85
3B  3C12:A85
3C  3C12:A45
3D  3C12:A28
3E  116:10DA
3F  2453:2001
40  F000:EC59
41  F000:EFD5
42  F000:F065
43  C000:6561
44  F000:EF6F
45  F000:EF6F
46  F000:EF6F
47  F000:EF6F
48  F000:EF6F
49  F000:EF6F
4A  F000:EF6F
4B  F000:EF6F
4C  F000:EF6F
4D  F000:EF6F
4E  F000:EF6F
4F  F000:EF6F
50  F000:EF6F
51  F000:EF6F
52  F000:EF6F
53  F000:EF6F
54  F000:EF6F
55  F000:EF6F
56  F000:EF6F
57  F000:EF6F
58  F000:EF6F
59  F000:EF6F
5A  F000:EF6F
5B  F000:EF6F
5C  F000:EF6F
5D  F000:EF6F
5E  F000:EF6F
5F  F000:EF6F
60  0:0
61  0:0
62  0:0
63  0:0
64  0:0
65  0:0
66  0:0
67  0:0
68  F000:EF6F
69  F000:EF6F
6A  F000:EF6F
6B  F000:EF6F
6C  2B9:8A9
6D  C000:34B4
6E  F000:EF6F
6F  F000:EF6F
70  488:52
71  F000:ECF3
72  F000:EF6F
73  F000:EF6F
74  488:FF
75  F000:F0FC
76  488:117
77  488:12F
78  0:0
79  0:0
7A  0:0
7B  0:0
7C  0:0
7D  0:0
7E  0:0
7F  0:0
80  0:0
81  0:0
82  0:0
83  0:0
84  0:0
85  0:0
86  0:0
87  0:0
88  0:0
89  0:0
8A  0:0
8B  0:0
8C  0:0
8D  0:0
8E  0:0
8F  0:0
90  0:0
91  0:0
92  0:0
93  0:0
94  0:0
95  0:0
96  0:0
97  0:0
98  0:0
99  0:0
9A  0:0
9B  0:0
9C  0:0
9D  0:0
9E  0:0
9F  0:0
A0  0:0
A1  0:0
A2  0:0
A3  0:0
A4  0:0
A5  0:0
A6  0:0
A7  0:0
A8  0:0
A9  0:0
AA  0:0
AB  0:0
AC  0:0
AD  0:0
AE  0:0
AF  0:0
B0  0:0
B1  0:0
B2  0:0
B3  0:0
B4  0:0
B5  0:0
B6  0:0
B7  0:0
B8  0:0
B9  0:0
BA  0:0
BB  0:0
BC  0:0
BD  0:0
BE  0:0
BF  0:0
C0  0:0
C1  0:0
C2  0:0
C3  0:0
C4  0:0
C5  0:0
C6  0:0
C7  0:0
C8  0:0
C9  0:0
CA  0:0
CB  0:0
CC  0:0
CD  0:0
CE  0:0
CF  0:0
D0  0:0
D1  0:0
D2  0:0
D3  0:0
D4  0:0
D5  0:0
D6  0:0
D7  0:0
D8  0:0
D9  0:0
DA  0:0
DB  0:0
DC  0:0
DD  0:0
DE  0:0
DF  0:0
E0  0:0
E1  0:0
E2  0:0
E3  12D9:12D9
E4  6D00:1D9
E5  82F0:EF
E6  5680:3C00
E7  7000:1ED
E8  DF02:DF98
E9  A05:A02
EA  4BC:1405
EB  ED:2205
EC  2C00:86F0
ED  ED:5680
EE  9A02:46F0
EF  5D4:1923
F0  5D4:1875
F1  100:0
F2  0:0
F3  100:7C
F4  280:2
F5  C4:1000
F6  1600:1
F7  7C00:0
F8  80:1
F9  0:1
FA  3:0
FB  A427:1
FC  7C00:1
FD  185:5EB
FE  A8:1CF
FF  246:F000
